epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1391,2.03412,4.66958,1.54054,0.28571,0.14286,0.10562,0.06156,1.76414,51.7929,1.45067,0.000555556,0.000555556,0.000555556
2,61.3128,1.81927,9.93727,1.30501,0.28571,0.14286,0.10562,0.06156,1.76414,51.7929,1.45067,0.00119802,0.00119802,0.00119802
3,92.4435,1.71829,7.2818,1.28115,0.28571,0.14286,0.10562,0.06156,1.76414,51.7929,1.45067,0.00181409,0.00181409,0.00181409
4,125.103,2.98954,30.3997,2.02587,0.00267,0.14286,0.00067,0.00011,3.32151,2440.29,2.65573,0.0018812,0.0018812,0.0018812
5,160.474,3.66511,35.0373,2.38468,0.00267,0.14286,0.00067,0.00011,3.32151,2440.29,2.65573,0.0018416,0.0018416,0.0018416
6,202.181,3.44358,32.721,2.2211,0.00366,0.14286,0.00176,0.0003,3.72235,3456.66,3.04574,0.001802,0.001802,0.001802
7,235.584,3.89062,14.6117,2.62231,0.00366,0.14286,0.00176,0.0003,3.72235,3456.66,3.04574,0.0017624,0.0017624,0.0017624
8,270.949,3.84421,14.5871,2.62034,0.00366,0.14286,0.00176,0.0003,3.72235,3456.66,3.04574,0.0017228,0.0017228,0.0017228
9,303.713,3.8552,7.36321,2.78853,0,0,0,0,0.50594,5.07246e+10,0.39929,0.0016832,0.0016832,0.0016832
10,338.711,3.69025,3.91201,2.86155,0,0,0,0,0.50594,5.07246e+10,0.39929,0.0016436,0.0016436,0.0016436
11,370.416,3.91198,4.16766,2.8245,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,403.863,3.54154,3.7748,2.80723,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,435.642,3.70572,4.01971,2.77125,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,467.479,3.61862,3.56169,2.72439,0,0,0,0,0,0.00627,0,0.0014852,0.0014852,0.0014852
15,499.009,3.87035,3.55025,2.80891,0,0,0,0,0,0.00627,0,0.0014456,0.0014456,0.0014456
16,530.793,3.50546,3.65481,2.68865,0.00343,0.07143,0.00061,7e-05,4.58712,2192.14,284.969,0.001406,0.001406,0.001406
17,562.304,3.61879,3.8572,2.66006,0.00343,0.07143,0.00061,7e-05,4.58712,2192.14,284.969,0.0013664,0.0013664,0.0013664
18,595.104,3.44452,3.49854,2.59459,0.00343,0.07143,0.00061,7e-05,4.58712,2192.14,284.969,0.0013268,0.0013268,0.0013268
19,628.802,3.42382,3.53573,2.59767,0,0,0,0,0,8e-05,0,0.0012872,0.0012872,0.0012872
20,668.939,3.41494,3.33402,2.41516,0,0,0,0,0,8e-05,0,0.0012476,0.0012476,0.0012476
21,701.135,3.33077,3.30858,2.5475,0,0,0,0,5.29341,9.91922,11.5092,0.001208,0.001208,0.001208
22,733.175,3.56327,3.14813,2.64804,0,0,0,0,5.29341,9.91922,11.5092,0.0011684,0.0011684,0.0011684
23,766.095,3.32937,3.17571,2.51098,0,0,0,0,5.29341,9.91922,11.5092,0.0011288,0.0011288,0.0011288
24,800.65,3.3531,2.97541,2.4732,0.00267,0.14286,0.00076,0.00017,3.8892,5.10512,3.35398,0.0010892,0.0010892,0.0010892
25,833.925,3.24983,3.30738,2.41536,0.00267,0.14286,0.00076,0.00017,3.8892,5.10512,3.35398,0.0010496,0.0010496,0.0010496
26,866.389,3.0697,3.12437,2.31618,0.00267,0.14286,0.00198,0.00053,3.87158,4.4631,3.44759,0.00101,0.00101,0.00101
27,898.321,3.00436,2.89462,2.21686,0.00267,0.14286,0.00198,0.00053,3.87158,4.4631,3.44759,0.0009704,0.0009704,0.0009704
28,930.619,3.06896,2.92335,2.28097,0.00267,0.14286,0.00198,0.00053,3.87158,4.4631,3.44759,0.0009308,0.0009308,0.0009308
29,963.008,2.99408,2.93542,2.17367,0,0,0,0,4.24836,6.50506,4.98409,0.0008912,0.0008912,0.0008912
30,994.855,3.02229,2.9149,2.19802,0,0,0,0,4.24836,6.50506,4.98409,0.0008516,0.0008516,0.0008516
31,1026.9,2.86575,2.71305,2.10003,0.00136,0.07143,0.00027,3e-05,4.39949,5.54339,4.1979,0.000812,0.000812,0.000812
32,1059.02,2.97639,2.73823,2.19747,0.00136,0.07143,0.00027,3e-05,4.39949,5.54339,4.1979,0.0007724,0.0007724,0.0007724
