epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80458,2.07567,3.53199,1.57294,0.012,0.64286,0.05465,0.02614,1.54881,3.23252,1.1503,0.000555556,0.000555556,0.000555556
2,9.26792,1.80251,3.25233,1.22137,0.012,0.64286,0.05465,0.02614,1.54881,3.23252,1.1503,0.00119802,0.00119802,0.00119802
3,13.8145,1.71627,3.07877,1.25723,0.012,0.64286,0.05465,0.02614,1.54881,3.23252,1.1503,0.00181409,0.00181409,0.00181409
4,18.563,2.041,3.52094,1.39584,0.31815,0.21429,0.12053,0.05122,2.23052,3.23008,1.44089,0.0018812,0.0018812,0.0018812
5,23.1312,2.25058,3.12761,1.50679,0.31815,0.21429,0.12053,0.05122,2.23052,3.23008,1.44089,0.0018416,0.0018416,0.0018416
6,27.9521,2.2369,3.15711,1.5082,0.012,0.64286,0.02638,0.00991,2.11341,3.44035,1.48025,0.001802,0.001802,0.001802
7,32.8057,2.17977,2.69022,1.47959,0.012,0.64286,0.02638,0.00991,2.11341,3.44035,1.48025,0.0017624,0.0017624,0.0017624
8,37.7439,2.39553,2.92067,1.6522,0.012,0.64286,0.02638,0.00991,2.11341,3.44035,1.48025,0.0017228,0.0017228,0.0017228
9,42.7281,2.28112,2.79386,1.48286,0.012,0.64286,0.02314,0.0064,2.14414,3.34978,1.53579,0.0016832,0.0016832,0.0016832
10,47.7194,2.23113,2.73878,1.58592,0.012,0.64286,0.02314,0.0064,2.14414,3.34978,1.53579,0.0016436,0.0016436,0.0016436
11,52.8099,2.17944,2.59179,1.42514,0.29498,0.04642,0.075,0.02953,1.94615,3.08782,1.45594,0.001604,0.001604,0.001604
12,57.8459,1.97048,2.39013,1.47411,0.29498,0.04642,0.075,0.02953,1.94615,3.08782,1.45594,0.0015644,0.0015644,0.0015644
13,62.7265,1.9621,2.40376,1.3463,0.29498,0.04642,0.075,0.02953,1.94615,3.08782,1.45594,0.0015248,0.0015248,0.0015248
14,67.8537,1.95951,2.11293,1.35769,0.64553,0.19617,0.31711,0.15229,1.78686,2.58539,1.24218,0.0014852,0.0014852,0.0014852
15,72.79,1.91281,2.21251,1.31504,0.64553,0.19617,0.31711,0.15229,1.78686,2.58539,1.24218,0.0014456,0.0014456,0.0014456
16,77.7603,1.92648,2.15831,1.30522,0.56062,0.35714,0.31702,0.15937,1.65676,2.37006,1.26476,0.001406,0.001406,0.001406
